Designator,Mid X,Mid Y,Layer,Rotation
C1,24.900001,27.317514,top,270
C2,16.9,18.899999,top,0
C3,16.3,16.6,top,90
C4,33.8,19.6,top,270
C5,18.5,23.35,top,180
C6,17.8,16.6,top,90
C7,57.1,34.6,top,180
C8,49.4,26.4,top,270
C9,47.475,34.5,top,270
C10,45.525,34.5,top,270
C11,45.7,26.5,top,90
C12,24,37.2,top,90
C13,22.5,40.2,top,90
C14,21.1,49.2,top,180
C15,21.2,54.4,top,0
C16,37.65,33.3,top,90
C17,25.1,53.5,top,90
C18,27.575,54.1,top,0
C19,14.3,44.9,top,180
C20,14.675,42.3,top,90
C21,16.575,42.3,top,90
C22,18.5,44.3,top,270
C23,31.6,40,top,270
C24,30.95,55.6,top,0
C25,28.6,40,top,270
C26,30.1,40,top,270
C27,33.9125,53.6,top,0
C28,35.25,40,top,270
C29,37.8,53.6,top,180
C30,37.2,40,top,90
C31,40.6,49.1,top,90
C32,46.4,41.8,top,90
C33,40.8,53.6,top,0
C34,45.1,55.4,top,0
C35,33.5,81.1625,top,270
C36,13.4,81.1375,top,270
C37,52.7,81.1625,top,270
C40,15,61.9,top,270
C41,35,61.8,top,270
C42,54.6,61.7,top,270
C43,45.825,22.2,top,90
C44,55.925,23.825,top,180
C45,32.3,23.4,top,270
C46,31.3,11.599999,top,180
C47,17.5,12.9,top,0
C48,16.9,21.849999,top,0
C49,29.5,25.6,top,270
C50,21.8,29.75,top,180
C51,30.4,30.5,top,90
C52,26.9,26.2,top,270
C53,23.300357,27.317517,top,270
C54,21.900357,27.317516,top,270
C55,17.475357,14.342516,top,180
C56,31.3,9.7,top,0
C57,39.15,33.3,top,90
C58,46.4,38.8,top,90
C59,44.6,44.912499,top,270
C60,9.5,35,top,90
C61,10.5,76.2,top,180
C62,8.85,59.2,top,270
C63,30.65,76.25,top,180
C64,11.9,37.4,top,0
C65,29.4,59.5,top,270
C66,50,76.15,top,180
C67,48.3,59.4,top,270
C68,18.1,78.2,top,180
C70,38.1,77.8,top,180
C71,57.3,78.2,top,180
C72,46.675,15.1,top,270
C73,23.65,7.15,top,0
C74,23.2,8.6,top,0
C75,22.3125,10.1,top,0
D1,43.725,8.2,top,90
D2,12.775,8.2,top,270
D3,43.300001,13.8,top,90
D4,39.7,13.8,top,90
D5,41.5,13.8,top,90
D6,16.1,51.3,top,270
D7,7.1,59.1,top,270
D8,14.8,75.5,top,270
D9,27.8,59.35,top,270
D10,35,75.5,top,270
D11,54.3,75.5,top,270
D12,46.6,59.3,top,270
D13,19.6,37.3,top,270
L1,10.1,50.2,top,270
NTC1,50,54.3,top,0
Q7,4.5,59,top,180
Q8,17.8,75.5,top,0
Q9,25.1,59.4,top,180
Q10,38,75.1,top,0
Q11,57.1,75.5,top,0
Q12,43.9,59.3,top,180
R1,22.5,32.2,top,270
R2,20.7,32.2,top,270
R3,27.4,9.1,top,270
R4,25.9,9.1,top,270
R5,16.899999,20.4,top,180
R6,45.1,16.8,top,270
R7,16.775,8.6,top,180
R8,16.775,10.1,top,180
R9,14.8,16.6,top,270
R10,43.300001,16.8,top,90
R11,39.7,16.8,top,90
R12,41.5,16.8,top,90
R13,16.35,29.05,top,180
R14,19.375,7.1,top,180
R15,38.4,7.2,top,270
R16,39.9,7.2,top,270
R17,41.4,7.2,top,270
R18,20.8,44,top,90
R19,22.5,44,top,90
R20,24,40.2125,top,270
R21,20.075,41.8,top,0
R22,27.275,34.9,top,90
R23,26.3,40,top,90
R24,30.675,34.3,top,180
R25,33.9,17.1,top,0
R26,37.2,36.6,top,90
R27,3,55,top,270
R28,38.7,36.6,top,90
R29,19,32.2,top,90
R30,47.9,41.8,top,90
R31,21.8,59.4,top,180
R32,17.3,32.2,top,90
R33,17.7,60.8,top,180
R34,43.05,44.9,top,270
R35,43.8,42.65,top,0
R36,53.6,58,top,270
R37,37.6,60.6,top,180
R38,15.5,32.2,top,90
R39,57.2,62.4,top,180
R41,12.9,75.6,top,270
R42,33.1,75.6,top,270
R43,52.4,75.6,top,270
R44,10.5,74.7,top,180
R45,30.6,74.8,top,0
R46,50,74.65,top,0
R47,12,59.4,top,270
R48,32.6,59.3625,top,270
R49,51.5,59.2,top,270
R50,10.3,59.2125,top,270
R51,30.9,59.5,top,90
R52,49.8,59.4,top,90
R53,17.7,62.7,top,180
R54,37.6,62.5,top,180
R55,57.2,60.5,top,180
R56,6.1,67.3,top,270
R57,2.2,67.3,top,270
R58,26.425,67.4,top,270
R59,22.575,67.4,top,270
R60,41.925,67.4,top,270
R61,45.825,67.4,top,270
R62,55.925,22.299999,top,0
R63,55.925,20.8,top,180
R64,53.8,45.2,top,90
R65,48.5,50,top,0
R66,44.3,53.2125,top,90
R67,45.8,53.2,top,90
R69,12.4,32.5,top,180
R70,12.4,31.05,top,0
R73,18.1,80.1,top,0
R74,18.1,82,top,0
R75,9.6,57,top,0
R76,17.3,70.1,top,270
R77,29.3,57.3,top,0
R78,37.8,69,top,270
R79,57.4,69.8,top,270
R80,40.7,58.3,top,180
R81,38.1,79.7,top,0
R82,38.0625,81.6,top,0
R83,57.32,81.9,top,0
R84,57.32,80.05,top,0
R85,36.2,9.275,top,0
R86,36.2,7.8,top,0
R87,36.2,6.3,top,0
U1,53.05,30.2,top,180
U2,30.66,46.8,top,90
U3,49.1,46.2,top,180
U4,50.325,22.2,top,0
U5,25.675358,17.542513,top,270
U6,12.15,34.86,top,180
X1,26.5,30.7,top,0
